"chanel","folder","date","time","site","sample","volts","amps","temp_before","temp_after","irr_before","irr_after"
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",0,0.33873,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",0.102213,0.33873,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",0.104191,0.339098,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",0.401596,0.338852,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",0.559861,0.33884,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",0.714828,0.338263,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",0.879687,0.338128,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",1.034654,0.338336,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",1.200832,0.337931,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",1.363053,0.337428,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",1.521318,0.336961,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",1.678263,0.336678,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",1.837847,0.336764,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",1.998749,0.33604,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",2.158332,0.336052,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",2.321213,0.336138,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",2.478818,0.334591,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",2.636423,0.334554,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",2.798644,0.335315,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",2.956909,0.334296,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",3.11847,0.334222,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",3.278054,0.333412,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",3.436318,0.333559,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",3.599199,0.333547,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",3.756144,0.333117,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",3.919685,0.333227,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",4.079927,0.333092,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",4.238851,0.333461,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",4.400413,0.332687,34.38931,34.38931,36.94593,36.80824
115,"2013-07-19","07/19/2013","18:10:17",9,"sa18145.00",4.556699,0.333126,34.38931,34.38931,36.94593,36.80824
