"chanel","folder","date","time","site","sample","volts","amps","temp_before","temp_after","irr_before","irr_after"
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",0,0.060289,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",-0.01301,0.060289,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",-0.020166,0.060141,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",0.314198,0.060049,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",0.478127,0.060049,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",0.645309,0.059688,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",0.811841,0.060299,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",0.976421,0.059559,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",1.14035,0.059947,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",1.308833,0.060548,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",1.472112,0.059864,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",1.638644,0.05979,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",1.803224,0.059892,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",1.965852,0.059707,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",2.134986,0.060095,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",2.296964,0.060188,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",2.462194,0.059956,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",2.629376,0.059633,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",2.790704,0.060132,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",2.959837,0.059836,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",3.126368,0.059494,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",3.291599,0.059938,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",3.454227,0.059716,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",3.619458,0.059771,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",3.78729,0.06003,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",3.950569,0.059808,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",4.113197,0.06004,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",4.279079,0.05967,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",4.444309,0.05967,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",4.61084,0.059281,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",4.776721,0.059882,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",4.938699,0.059808,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",5.107182,0.059975,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",5.274364,0.059975,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",5.437643,0.059892,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",5.602223,0.059855,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",5.7629,0.05979,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",5.932684,0.059485,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",6.095963,0.059614,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",6.257941,0.059448,6.638489,6.634787,8.545926,8.545926
209,"2013-10-23","10/23/2013","18:00:26",10,"sa18148.00",6.426424,0.05979,6.638489,6.634787,8.545926,8.545926
