"chanel","folder","date","time","site","sample","volts","amps","temp_before","temp_after","irr_before","irr_after"
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",0,10.681777,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",2.524317,10.681777,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",2.536181,10.706265,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",2.888135,10.703082,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",3.060158,10.699531,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",3.233498,10.69647,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",3.400248,10.693653,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",3.578203,10.691328,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",3.748248,10.687164,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",3.924225,10.685329,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",4.092952,10.683002,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",4.264316,10.679696,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",4.440293,10.677369,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",4.612975,10.673573,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",4.788293,10.671981,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",4.952407,10.668921,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",5.126407,10.665982,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",5.303702,10.663166,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",5.476384,10.659982,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",5.649065,10.659125,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",5.821747,10.655942,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",5.99031,10.65285,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",6.16711,10.6508,32.86471,32.92014,593.1563,593.1563
114,"2013-07-15","07/15/2013","16:00:16",9,"sa18228.00",6.335838,10.647739,32.86471,32.92014,593.1563,593.1563
