"chanel","folder","date","time","site","sample","volts","amps","temp_before","temp_after","irr_before","irr_after"
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",0,0.583594,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",0.097581,0.583594,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",0.094328,0.583493,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",0.340882,0.583289,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",0.521081,0.583742,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",0.699979,0.58364,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",0.880829,0.58316,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",1.055824,0.583742,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",1.238625,0.583419,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",1.416873,0.5834,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",1.596421,0.583252,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",1.773368,0.583104,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",1.950965,0.58328,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",2.131164,0.582651,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",2.312013,0.583086,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",2.486358,0.582725,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",2.664605,0.582808,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",2.847407,0.58328,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",3.023703,0.582799,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",3.2026,0.582808,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",3.384101,0.582873,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",3.562999,0.582855,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",3.740596,0.58291,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",3.916241,0.582966,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",4.09579,0.582975,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",4.274038,0.582614,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",4.454237,0.582513,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",4.628581,0.582133,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",4.810081,0.582041,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",4.988979,0.581847,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",5.167227,0.58205,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",5.346125,0.581828,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",5.526974,0.582448,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",5.705222,0.582207,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",5.876964,0.582096,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",6.059765,0.581875,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",6.239965,0.582069,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",6.420815,0.582143,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",6.595158,0.582115,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",6.775358,0.581699,NA,NA,0.0004533086,0.0004532913
209,"2014-08-06","08/06/2014","07:20:01",10,"sa18148.00",6.951003,0.582217,NA,NA,0.0004533086,0.0004532913
