"chanel","folder","date","time","site","sample","volts","amps","temp_before","temp_after","irr_before","irr_after"
114,"2014-05-03","05/03/2014","05:55:07",9,"sa18228.00",0,0.000306,NA,NA,-8.073781e-06,-7.76911e-06
114,"2014-05-03","05/03/2014","05:55:07",9,"sa18228.00",0.005273,0.000306,NA,NA,-8.073781e-06,-7.76911e-06
114,"2014-05-03","05/03/2014","05:55:07",9,"sa18228.00",0.005734,3.7e-05,NA,NA,-8.073781e-06,-7.76911e-06
114,"2014-05-03","05/03/2014","05:55:07",9,"sa18228.00",1.816519,0,NA,NA,-8.073781e-06,-7.76911e-06
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",0,0.527868,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",0.191217,0.527868,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",0.188579,0.528027,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",0.514967,0.527745,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",0.697612,0.528161,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",0.88751,0.527011,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",1.067353,0.527057,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",1.254779,0.527219,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",1.440062,0.526644,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",1.621388,0.526546,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",1.807989,0.526791,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",1.988656,0.52673,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",2.177895,0.526473,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",2.361859,0.526008,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",2.547142,0.526241,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",2.732425,0.526155,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",2.919026,0.525507,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",3.098374,0.526179,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",3.281679,0.524944,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",3.470918,0.525237,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",3.652903,0.525323,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",3.842802,0.52443,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",4.026765,0.524785,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",4.206114,0.524185,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",4.399968,0.524968,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",4.580635,0.52465,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",4.765918,0.524919,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",4.948563,0.524797,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",5.139121,0.524834,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",5.326381,0.524198,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",5.507049,0.524467,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",5.691672,0.524601,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",5.876295,0.524271,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",6.058281,0.523635,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",6.243564,0.523977,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",6.42489,0.524075,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",6.614129,0.524234,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",6.797433,0.524883,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",6.984694,0.523464,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",7.166021,0.523525,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",7.355259,0.524308,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",7.537245,0.523195,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",7.71989,0.524381,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",7.905173,0.523586,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",8.091775,0.523072,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",8.281013,0.523941,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",8.461021,0.523647,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",8.645644,0.523121,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",8.832246,0.522962,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",9.01489,0.522864,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",9.196876,0.523109,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",9.386116,0.522669,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",9.57074,0.52246,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",9.756022,0.522424,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",9.939986,0.522681,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",10.127905,0.522094,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",10.307254,0.521286,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",10.490559,0.522399,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",10.678479,0.522142,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",10.857826,0.52147,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",11.049703,0.521898,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",11.23103,0.521359,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",11.415652,0.520993,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",11.602914,0.522179,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",11.7849,0.521115,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",11.97216,0.52109,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",12.155465,0.520381,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",12.340089,0.520075,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",12.529327,0.521005,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",12.711313,0.520381,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",12.893298,0.519928,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",13.07924,0.520099,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",13.263203,0.519292,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",13.44519,0.5195,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",13.633769,0.518729,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",13.813777,0.517812,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",14.004335,0.517959,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",14.18764,0.518191,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",14.368307,0.516686,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",14.556227,0.516833,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",14.740192,0.515977,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",14.924814,0.515414,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",15.108118,0.514619,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",15.290764,0.514007,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",15.478024,0.512967,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",15.663966,0.512405,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",15.849908,0.51112,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",16.029916,0.509518,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",16.215199,0.508747,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",16.400482,0.507878,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",16.585106,0.505505,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",16.764453,0.504429,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",16.951714,0.50427,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",17.136997,0.503906,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",17.322937,0.503805,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",17.508221,0.502716,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",17.690866,0.503768,NA,NA,0.000683908,0.0006868283
114,"2014-05-03","05/03/2014","10:25:16",9,"sa18228.00",17.87549,0.503474,NA,NA,0.000683908,0.0006868283
