"chanel","folder","date","time","site","sample","volts","amps","temp_before","temp_after","irr_before","irr_after"
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",0,2.608285,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",0.843636,2.608285,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",0.872636,2.609019,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",1.157363,2.608408,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",1.34784,2.607674,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",1.539636,2.607552,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",1.726158,2.606451,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",1.912681,2.606084,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",2.099203,2.606084,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",2.29034,2.60584,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",2.476862,2.605473,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",2.664044,2.604006,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",2.84859,2.606084,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",3.041044,2.604373,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",3.230862,2.604128,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",3.418703,2.60315,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",3.606544,2.602294,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",3.791748,2.602294,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",3.980907,2.602049,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",4.168748,2.601438,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",4.351975,2.601438,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",4.543771,2.600704,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",4.734248,2.600093,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",4.925384,2.600704,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",5.10927,2.598503,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",5.299747,2.599848,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",5.485611,2.598136,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",5.674111,2.596546,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",5.860633,2.596791,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",6.046497,2.596057,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",6.235656,2.595201,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",6.423497,2.594957,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",6.611996,2.594101,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",6.798519,2.594223,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",6.988338,2.594223,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",7.174201,2.592878,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",7.365337,2.593245,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",7.549883,2.593122,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",7.739042,2.593245,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",7.927541,2.592389,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",8.115382,2.593,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",8.303223,2.591655,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",8.493041,2.591777,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",8.680882,2.59031,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",8.868723,2.589821,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",9.059859,2.590554,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",9.245064,2.589454,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",9.431586,2.589332,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",9.622723,2.588109,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",9.814518,2.589087,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",9.999722,2.588353,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",10.188882,2.588476,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",10.378699,2.58762,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",10.562585,2.586275,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",10.756359,2.586152,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",10.936948,2.58603,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",11.13204,2.585785,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",11.319881,2.585174,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",11.505085,2.583829,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",11.686994,2.583829,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",11.883404,2.583462,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",12.069267,2.582362,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",12.24854,2.581995,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",12.440993,2.582973,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",12.628835,2.580894,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",12.816016,2.580772,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",13.002539,2.580161,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",13.192357,2.579182,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",13.375583,2.578693,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",13.558151,2.578449,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",13.751926,2.577103,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",13.937129,2.576248,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",14.122993,2.575758,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",14.310175,2.576003,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",14.502629,2.574169,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",14.691788,2.574169,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",14.871721,2.572334,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",15.059561,2.571601,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",15.24872,2.5694,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",15.434584,2.566954,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",15.619788,2.563408,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",15.810265,2.561085,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",15.996786,2.556315,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",16.185286,2.552158,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",16.367856,2.545555,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",16.557014,2.540541,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",16.743536,2.533082,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",16.929401,2.525256,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",17.115924,2.514617,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",17.297833,2.503856,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",17.481059,2.49175,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",17.666264,2.477199,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",17.848833,2.460813,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",18.030083,2.442104,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",18.21199,2.420215,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",18.391263,2.398204,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",18.569217,2.370568,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",18.747173,2.34012,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",18.923151,2.307104,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",19.100446,2.269807,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",19.27115,2.231166,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",19.45174,2.199495,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",19.636945,2.190935,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",19.82215,2.184577,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",20.010649,2.178463,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",20.192558,2.171859,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",20.377104,2.166112,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",20.564285,2.160242,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",20.748831,2.154495,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",20.93799,2.15046,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",21.123854,2.144223,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",21.303784,2.139454,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",21.493602,2.134319,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",21.678807,2.128938,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",21.864014,2.123191,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",22.051193,2.119522,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",22.241013,2.114142,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",22.425557,2.110963,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",22.612079,2.106071,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",22.799261,2.102525,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",22.983148,2.097756,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",23.169669,2.093721,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",23.356192,2.090174,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",23.545352,2.086506,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",23.731216,2.083327,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",23.915102,2.079292,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",24.103601,2.076479,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",24.290126,2.072688,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",24.474669,2.070365,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",24.664488,2.06853,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",24.851012,2.064128,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",25.037532,2.06315,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",25.22076,2.058992,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",25.409261,2.057892,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",25.599736,2.054957,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",25.784283,2.052634,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",25.971463,2.049454,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",26.159305,2.047742,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",26.345828,2.046642,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",26.533011,2.04383,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",26.724146,2.041751,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",26.908032,2.038082,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",27.091916,2.036615,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",27.279102,2.034903,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",27.474191,2.033191,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",27.658737,2.031846,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",27.841306,2.0294,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",28.033759,2.026832,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",28.22226,2.024998,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",28.408124,2.021941,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",28.590689,2.021574,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",28.783804,2.019984,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",28.967691,2.01815,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",29.156189,2.016438,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",29.349304,2.013748,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",29.529236,2.013993,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",29.719711,2.009713,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",29.903598,2.007634,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",30.090781,1.996017,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",30.268735,1.964957,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",30.439441,1.920936,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",30.612781,1.871411,24.31906,24.31906,322.8379,322.6576
114,"2013-09-19","09/19/2013","09:40:15",9,"sa18228.00",30.780847,1.817485,24.31906,24.31906,322.8379,322.6576
