"chanel","folder","date","time","site","sample","volts","amps","temp_before","temp_after","irr_before","irr_after"
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0,0.001526,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",-0.019516,0.001526,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",-0.025371,0.001554,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.187355,0.001526,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.276479,0.001415,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.358447,0.001388,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.44692,0.001896,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.529538,0.001064,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.619313,0.001434,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.705184,0.001388,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.789754,0.001582,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.872372,0.001499,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",0.960195,0.001036,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.049969,0.001397,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.137141,0.001286,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.221711,0.00148,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.305631,0.001064,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.394104,0.001619,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.478023,0.001378,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.567147,0.001397,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.656921,0.001184,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.734986,0.001129,12.99553,12.99553,-2.657065,-2.794499
209,"2013-09-27","09/27/2013","05:40:26",10,"sa18148.00",1.82476,0.001277,12.99553,12.99553,-2.657065,-2.794499
